nom;balf;cod_quartier;sndi_domaine;cod_dir_dep;cod_dep;lib_dep;dom_fonc
majsql;dg75-dsi-domaine-outils-transverses@insee.fr;AN;75-DOT;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
gecocour;dr45-sndi-maintenance-gecodoc@insee.fr;PL;45-GAT;SG;DCVCT;Dep. cadre de vie et des conditions de travail;Secrétariat Général
pegase;dg75-dsi-domaine-outils-transverses@insee.fr;AN;75-DOT;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
r2d2;dg75-dsi-domaine-outils-transverses@insee.fr;AP;75-DOT;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
replicateurs;dg75-dsi-domaine-outils-transverses@insee.fr;AN;75-DOT;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
Pogues;service-numerique-atelier-conception-enquetes@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DMCSI;UQ;Unité qualité;Filière de produits d’enquêtes
aida;;DF;75-Diffusion;DDAR;DAR;Dep. action régionale;Cycle aval de la donnée
compas;dg75-dsi-domaine-outils-transverses@insee.fr;UT;75-DOT;DSI;DDSI;Dep. développement du système d'information;Services informatiques
bangles;traitements-enquetes@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DMCSI;OSE;Unité Offre de Services filière d'Enquête;Filière de produits d’enquêtes
oiseau;;AP;aucun domaine de dev.;DSI;DPII;Dep. Production et infrastructure informatique;
stromae;;ST;;;;;
spoc;dg75-dsi-domaine-outils-transverses@insee.fr;AN;75-DOT;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
sugoi;dg75-dsi-domaine-outils-transverses@insee.fr;AN;75-DOT;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
Icare;;DF;aucun domaine de dev.;DDAR;DCSP;Dep. communication et services aux publics;Sites web, communication
Insee Mobile;;DF;aucun domaine de dev.;DDAR;DCSP;Dep. communication et services aux publics;Sites web, communication
PFUE;dr13-pgcoc@insee.fr;DF;13-GCoc;DDAR;UPOD;Unité Pilotage et Offre de Données;Sites web, communication
Site de secours;dr13-pgcoc@insee.fr;DF;13-GCoc;DDAR;DOE;Dep. offre éditoriale;Sites web, communication
Blog;dr13-pgcoc@insee.fr;PL;13-GCoc;DDAR;DCSP;Dep. communication et services aux publics;Sites web, communication
Formation;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;DRH;Dep. des ressources humaines;Secrétariat Général
OGD;dg75-sirh@insee.fr;RH;aucun domaine de dev.;SG;DRH;Dep. des ressources humaines;Secrétariat Général
Web Cnis 2;dr13-pgcoc@insee.fr;PL;13-GCoc;DDAR;SGCNIS;Secrétariat général du Conseil National Information Statistique;Sites web, communication
Autorité statistique publique;dr13-pgcoc@insee.fr;PL;13-GCoc;DMCSI;DCSI;Dep. coordination statistique et internationale;Sites web, communication
Géoclip;;DF;aucun domaine de dev.;DDAR;SGCNIS;Secrétariat général du Conseil National Information Statistique;Sites web, communication
Capi - Poste de gestion;dg75-dsds-administration-capi@insee.fr;MN;59-Informatisation Des Enquêtes;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Enquêtes auprès des ménages
Census21;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
RSST;dr13-pgcoc@insee.fr;RH;13-GCoc;SG;DCVCT;Dep. cadre de vie et des conditions de travail;Secrétariat Général
aireppnet;ci44-maintenance-brpp2@insee.fr;RI;44-Répertoire des personnes;DSDS;DD;Dep. démographie;Rep. de personnes physiques
static;dg75-dsi-domaine-outils-transverses@insee.fr;AP;75-DOT;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
Pro connect;dr44-sndi-proconnect@insee.fr;RE;44-Haute disponibilité;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Rep. d’entreprises
profiam;DR45-SNDI-resil-developpement@insee.fr;RI;45-Silo;DSDS;RESIL;Programme Répertoires Statistiques d'Individus et de Logements ;Rep. statistiques démographiques et sociales
plateforme-de-donnees;;DF;75-Diffusion;DDAR;UPOD;Unité Pilotage et Offre de Données;Cycle aval de la donnée
urbanisation-datacenter;;UT;aucun domaine de dev.;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
rorcal;ci45-domaine-cartographie@insee.fr;RP;45-Géo;DSDS;DD;Dep. démographie;Recensement de la population
parcours;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;DRH;Dep. des ressources humaines;Secrétariat Général
soc;;AP;aucun domaine de dev.;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
elbs;dr59-sndi-groupe-gestion-collecte@insee.fr;CJ;59-Préparer - Collecter;DSDS;DRCVM;Dep. des ressources et des conditions de vie des ménages;Enquêtes auprès des ménages
editique_conception;;UT;44-Editique;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
editique_impression;;UT;44-Editique;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
tourisme3;ci45-maintenance-tourisme@insee.fr;CJ;45-GAT;DSE;DSS;Dep. des synthèses sectorielles;Enquêtes auprès des entreprises
archimed;dr45-sndi-groupe-gat@insee.fr;PL;45-GAT;DDAR;UPOD;Unité Pilotage et Offre de Données;Cycle aval de la donnée
arccts;dr45-sndi-groupe-siera@insee.fr;EP;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
apirh;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;UCAT;Unité coordination des activités transversales;Secrétariat Général
arc;dr45-sndi-groupe-siera@insee.fr;EP;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
apisirene;dr44-sndi-diffusion-sirene@insee.fr;RE;44-Haute disponibilité;DDAR;DCSP;Dep. communication et services aux publics;Rep. d’entreprises
arcdads;dr45-sndi-groupe-siera@insee.fr;EP;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
arcfiscalresil;dr45-sndi-resil-developpement@insee.fr;EP;45-Silo;DSDS;DD;Dep. démographie;Rep. statistiques démographiques et sociales
arcpasrauresil;dr45-sndi-resil-developpement@insee.fr;EP;45-Silo;DSDS;DD;Dep. démographie;Rep. statistiques démographiques et sociales
ariege;dg75-dsi-maintenance-ariege@insee.fr;CN;75-Etudes et synthèses;DESE;DCN;Dep. des comptes nationaux;Comptes nationaux
artemis;dr45-sndi-groupe-siera@insee.fr;EP;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
artemisdads;dr45-sndi-groupe-siera@insee.fr;EP;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
diane;dr45-sndi-groupe-siera@insee.fr;EP;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
athenes;dr45-sndi-maintenance-athenes@insee.fr;PL;45-GAT;DDAR;DAR;Dep. action régionale;Cycle aval de la donnée
perret;;EN;44-Projet Estanp;DSE;DSCT;Dep. statistiques de court terme;Stat. structurelles d’entreprises
baseressources;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;DAF;Dep. des affaires financières;Secrétariat Général
beatles;dr59-sndi-groupe-gestion-collecte@insee.fr;ST;59-Préparer - Collecter;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Filière de produits d’enquêtes
stromae-dsfr;service-numerique-atelier-conception-enquetes@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DMCSI;UQ;Unité qualité;Filière de produits d’enquêtes
bpe2;dr45-sndi-groupe-gat@insee.fr;RP;45-GAT;DDAR;DAR;Dep. action régionale;Cycle aval de la donnée
Calia;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;DRH;Dep. des ressources humaines;Secrétariat Général
calvados;dg75-dsi-maintenance-dessin@insee.fr;EN;75-Statistiques de court terme entreprises;DSE;DSCT;Dep. statistiques de court terme;Stat. structurelles d’entreprises
citrus;dr44-sndi-domaine-sse@insee.fr;EN;44-Statistiques structurelles d’entreprises;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Stat. structurelles d’entreprises
collecteprix;dg75-projet-prisme@insee.fr;PX;75-IPC;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Prix à la consommation
coltrane;dr59-sin-maintenance-coltrane@insee.fr;ST;59-Préparer - Collecter;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Filière de produits d’enquêtes
conjoncture;dg75-dsi-maintenance-conjoncture@insee.fr;CJ;75-Etudes et synthèses;DESE;DC;Dep. conjoncture;Conjoncture
conjoncturedepouillement;dg75-dsi-maintenance-conjoncture@insee.fr;CJ;75-Etudes et synthèses;DESE;DC;Dep. conjoncture;Conjoncture
contentieux;dr44-sndi-maintenance-contentieux@insee.fr;PL;44-Support au développement;SG;UAJC;Unité affaires juridiques et contentieuses;Secrétariat Général
csns;dr45-sndi-csns-developpement@insee.fr;RI;45-Silo;DSDS;DD;Dep. démographie;Rep. statistiques démographiques et sociales
DDC;ci45-donnees-de-caisses@insee.fr;PX;45-SDI;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Prix à la consommation
ddl;dg75-dsi-maintenance-ddl@insee.fr;DF;75-Diffusion;DDAR;DOE;Dep. offre éditoriale;Cycle aval de la donnée
dianedads;dr45-sndi-groupe-siera@insee.fr;EP;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
dsnflash;dr45-sndi-groupe-siera@insee.fr;EP;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
ecmoss;dr45-sndi-groupe-siera@insee.fr;CN;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
edl;dg75-dsi-maintenance EDL@insee.fr;DF;75-Diffusion;DDAR;DAR;Dep. action régionale;Cycle aval de la donnée
edlmeta;dg75-dsi-maintenance EDL@insee.fr;DF;75-Diffusion;DDAR;DAR;Dep. action régionale;Cycle aval de la donnée
edp;ci44-maintenance-brpp2@insee.fr;AP;44-Répertoire des personnes;DSDS;UEDS;Unité des études démographiques et sociales;Rep. de personnes physiques
edt;dr59-sndi-groupe-metadonnees-et-plateforme-de-collecte@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DSDS;DRCVM;Dep. des ressources et des conditions de vie des ménages;Enquêtes auprès des ménages
eec3;dr59-sin-maintenance-eec@insee.fr;MN;59-Préparer - Collecter;DSDS;DERA;Dep. emploi et des revenus d'activités;Enquêtes auprès des ménages
creacartes;ci45-domaine-cartographie@insee.fr;GE;45-Géo;DMCSI;DMS;Dep. des méthodes statistiques;Services géographiques
eno;service-numerique-atelier-conception-enquetes@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DMCSI;DMS;Dep. des méthodes statistiques;Filière de produits d’enquêtes
enquetesprix;dg75-projet-prisme@insee.fr;PX;75-IPC;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Prix à la consommation
equilibr;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;DAF;Dep. des affaires financières;Secrétariat Général
era;dr59-sndi-groupe-gestion-collecte@insee.fr;ST;59-Préparer - Collecter;DSDS;UEDS;Unité des études démographiques et sociales;Enquêtes auprès des ménages
oscar;dg75-dsi-domaine-outils-transverses@insee.fr;UT;75-DOT;DSI;UNISSI;Unité Innovation et stratégie du système d'information;Services informatiques
erfsdrm;DR45-SNDI-ERFS-DRM@insee.fr;MN;45-Silo;DSDS;DRCVM;Dep. des ressources et des conditions de vie des ménages;Rep. statistiques démographiques et sociales
esane;ci44-maintenance-esane@insee.fr;EN;44-Statistiques structurelles d’entreprises;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Stat. structurelles d’entreprises
esanearc;ci44-maintenance-esane@insee.fr;EN;44-Statistiques structurelles d’entreprises;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Stat. structurelles d’entreprises
Genesis;traitements-enquetes@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DMCSI;OSE;Unité Offre de Services filière d'Enquête;Filière de produits d’enquêtes
figaro;dr45-sndi-maintenance-figaro@insee.fr;PL;45-GAT;DDAR;UPOD;Unité Pilotage et Offre de Données;Cycle aval de la donnée
filosofi2;dr45-sndi-filosofi2@insee.fr;MN;45-Silo;DSDS;DRCVM;Dep. des ressources et des conditions de vie des ménages;Rep. statistiques démographiques et sociales
ful;dg75-dsi-maintenance-dessin@insee.fr;EN;75-Statistiques de court terme entreprises;DSE;DSCT;Dep. statistiques de court terme;Stat. structurelles d’entreprises
gaia;ci45-domaine-cartographie@insee.fr;GE;45-Géo;DMCSI;DMS;Dep. des méthodes statistiques;Services géographiques
Geneppi;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;UCAT;Unité coordination des activités transversales;Secrétariat Général
generic;;ST;44-Projet Estanp;DSE;DSS;Dep. des synthèses sectorielles;Filière de produits d’enquêtes
goeland;dg75-dsi-maintenance-goeland@insee.fr;CN;75-Etudes et synthèses;DESE;DCN;Dep. des comptes nationaux;Comptes nationaux
geoloc;ci45-domaine-cartographie@insee.fr;GE;45-Géo;DDAR;DAR;Dep. action régionale;Services géographiques
heracles;dr45-sndi-groupe-siera@insee.fr;EP;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
homere;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
trust;traitements-enquetes@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DMCSI;OSE;Unité Offre de Services filière d'Enquête;Filière de produits d’enquêtes
itac;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
kraftwerk;traitements-enquetes@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DMCSI;OSE;Unité Offre de Services filière d'Enquête;Filière de produits d’enquêtes
lei;ci44-sd-maintenance-lei@insee.fr;RE;44-Répertoire d'entreprise - Soleil;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Rep. d’entreprises
p7cms;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
lifi3;dr44-sndi-domaine-sse@insee.fr;EN;44-Statistiques structurelles d’entreprises;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Stat. structurelles d’entreprises
gecoentr;dr45-sndi-maintenance-gecodoc@insee.fr;PL;45-GAT;SG;DCVCT;Dep. cadre de vie et des conditions de travail;Secrétariat Général
melauto;dr59-sin-maintenance-eec@insee.fr;MN;59-Préparer - Collecter;DSDS;DERA;Dep. emploi et des revenus d'activités;Enquêtes auprès des ménages
melodi;;DF;75-Diffusion;DDAR;DOE;Dep. offre éditoriale;Cycle aval de la donnée
messhugah;service-numerique-plateforme-collecte@insee.fr;ST;59-Préparer - Collecter;DMCSI;OSE;Unité Offre de Services filière d'Enquête;Filière de produits d’enquêtes
mouvin;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;UCAT;Unité coordination des activités transversales;Secrétariat Général
Nautile;dr45-sndi-nautile@insee.fr;MN;45-Silo;DMCSI;DMS;Dep. des méthodes statistiques;Services statistiques transverses
oasis;dg75-dsi-maintenance-dessin@insee.fr;EN;75-Statistiques de court terme entreprises;DSE;DSCT;Dep. statistiques de court terme;Stat. structurelles d’entreprises
ocapi;dg75-dsi-maintenance-papaye@insee.fr;EN;75-Statistiques de court terme entreprises;DSE;DSCT;Dep. statistiques de court terme;Stat. de court terme entreprises
odic;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
odicbatch;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
ofats;dr59-sndi-groupe-metadonnees-et-plateforme-de-collecte@insee.fr;CJ;59-Métadonnées, Concevoir, Traiter;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Enquêtes auprès des entreprises
omphale;dg75-dsi-domaine-diffusion@insee.fr;RP;75-Diffusion;DDAR;DAR;Dep. action régionale;Cycle aval de la donnée
Opale;dr59-sndi-groupe-gestion-collecte@insee.fr;MN;59-Préparer - Collecter;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Enquêtes auprès des ménages
Origami;dg75-dsi-maintenance-papaye@insee.fr;EN;75-Statistiques de court terme entreprises;DSE;DSCT;Dep. statistiques de court terme;Stat. de court terme entreprises
Estanpille;DG75-DSI-Estanp@insee.fr;EN;44-Projet Estanp;DSE;DSCT;Dep. statistiques de court terme;Stat. structurelles d’entreprises
orus;ci44-maintenance-sirus@insee.fr;RE;44-Répertoire d'entreprise - Soleil;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Rep. d’entreprises
p1;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
p2;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
p7;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
rca;ci45-domaine-cartographie@insee.fr;RP;45-Géo;DSDS;DD;Dep. démographie;Services géographiques
pilot;dg75-dsi-domaine-sg@insee.fr;PL;75-Secrétariat général;SG;DAF;Dep. des affaires financières;Secrétariat Général
pilotdon;dg75-dsi-domaine-sg@insee.fr;PL;75-Secrétariat général;SG;DAF;Dep. des affaires financières;Secrétariat Général
popleg;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
prismeipc;dg75-projet-prisme@insee.fr;PX;75-IPC;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Prix à la consommation
profilapp;ci44-maintenance-esane@insee.fr;EN;44-Statistiques structurelles d’entreprises;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Stat. structurelles d’entreprises
protools;dr59-sndi-groupe-gestion-collecte@insee.fr;ST;59-Préparer - Collecter;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Filière de produits d’enquêtes
prvempl;dr59-sndi-codification@insee.fr;MN;59-Métadonnées, Concevoir, Traiter;DSDS;DERA;Dep. emploi et des revenus d'activités;Enquêtes auprès des ménages
prvform;dr59-sndi-codification@insee.fr;MN;59-Métadonnées, Concevoir, Traiter;DSDS;DERA;Dep. emploi et des revenus d'activités;Enquêtes auprès des ménages
publicenemy;service-numerique-atelier-conception-enquetes@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Filière de produits d’enquêtes
queen;service-numerique-plateforme-collecte@insee.fr;MN;59-Préparer - Collecter;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Filière de produits d’enquêtes
rapsodie;dr45-sndi-filosofi2@insee.fr;MN;45-Silo;DSDS;DRCVM;Dep. des ressources et des conditions de vie des ménages;Rep. statistiques démographiques et sociales
referentielpilot;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;DAF;Dep. des affaires financières;Secrétariat Général
refigeo2;ci45-domaine-cartographie@insee.fr;GE;45-Géo;DMCSI;DMS;Dep. des méthodes statistiques;Services géographiques
rem;dr59-sndi-groupe-gestion-collecte@insee.fr;ST;59-Préparer - Collecter;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Filière de produits d’enquêtes
observabilite;dsi-observabilite@insee.fr;AP;Observabilité du SI;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
rmes;dr59-sinl-equipe-maintenance-rmes@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DMCSI;UQ;Unité qualité;Services statistiques transverses
rpetmoi;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
sabiane;service-numerique-plateforme-collecte@insee.fr;MN;59-Préparer - Collecter;DMCSI;OSE;Unité Offre de Services filière d'Enquête;Filière de produits d’enquêtes
sic;service-numerique-plateforme-collecte@insee.fr;ST;59-Préparer - Collecter;DMCSI;OSE;Unité Offre de Services filière d'Enquête;Filière de produits d’enquêtes
A-Régie;dg75-dsi-domaine-sg@insee.fr;PL;75-Secrétariat général;SG;DAF;Dep. des affaires financières;Secrétariat Général
sicore;dr59-sndi-codification@insee.fr;ST;59-Métadonnées, Concevoir, Traiter;DMCSI;DMS;Dep. des méthodes statistiques;Services statistiques transverses
side;dr44-sndi-domaine-sse@insee.fr;RE;44-Statistiques structurelles d’entreprises;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Stat. structurelles d’entreprises
sirene4;dr44-sndi-sirene4@insee.fr;RE;44-Répertoire d'Entreprise - Sirene;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Rep. d’entreprises
sirene4declaration;dr44-sndi-sirene4@insee.fr;RE;44-Répertoire d'Entreprise - Sirene;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Rep. d’entreprises
sirene4gestion;dr44-sndi-sirene4@insee.fr;RE;44-Répertoire d'Entreprise - Sirene;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Rep. d’entreprises
sirene4services;dr44-sndi-sirene4@insee.fr;RE;44-Répertoire d'Entreprise - Sirene;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Rep. d’entreprises
sirhius;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;UCAT;Unité coordination des activités transversales;Secrétariat Général
sirus;ci44-maintenance-sirus@insee.fr;RE;44-Répertoire d'entreprise - Soleil;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Rep. d’entreprises
synchro-rh;dg75-dsi-architecture-applicative@insee.fr;RH;75-DOT;DSI;DPII;Dep. Production et infrastructure informatique;Secrétariat Général
syracuse;dr44-sndi-diffusion-sirene@insee.fr;RE;44-Haute disponibilité;DDAR;DCSP;Dep. communication et services aux publics;Rep. d’entreprises
thesee;dr45-sndi-groupe-siera@insee.fr;EP;45-Siera;DSDS;DERA;Dep. emploi et des revenus d'activités;Stat. sur l’emploi et les revenus d’activité
toucan;dg75-DSI-Maintenance-Toucan@insee.fr;CN;75-Etudes et synthèses;DESE;DCN;Dep. des comptes nationaux;Comptes nationaux
web4g;dg75-dsi-domaine-diffusion@insee.fr;DF;75-Diffusion;DDAR;DOE;Dep. offre éditoriale;Sites web, communication
xml;ci44-maintenance-brpp2@insee.fr;DF;44-Répertoire des personnes;DSI;DPII;Dep. Production et infrastructure informatique;Sites web, communication
Conex;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;DRH;Dep. des ressources humaines;Secrétariat Général
Site comité du label;dr13-pgcoc@insee.fr;PL;13-GCoc;DMCSI;ACM;Administration du comité du Label;Sites web, communication
chaine informatisation des enquêtes;dr59-sin-assistance-capi@insee.fr;CJ;59-Informatisation Des Enquêtes;DSDS;DRCVM;Dep. des ressources et des conditions de vie des ménages;Enquêtes auprès des ménages
Tikicom;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
Centaure;;MN;59-Informatisation Des Enquêtes;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Enquêtes auprès des ménages
Intranet Insee;dr13-pgcoc@insee.fr;PL;13-GCoc;SG;UCAT;Unité coordination des activités transversales;Secrétariat Général
infocentre;dr59-sndi-groupe-gestion-collecte@insee.fr;MN;59-Préparer - Collecter;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Enquêtes auprès des ménages
coltcour;dr44-sndi-maintenance-activites-editiques@insee.fr;UT;44-Editique;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
editique;ci44-sd-activites-editiques@insee.fr;UT;44-Editique;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
gemini;dr44-sndi-maintenance-activites-editiques@insee.fr;PL;44-Editique;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
placebo;dr44-sndi-maintenance-activites-editiques@insee.fr;UT;44-Editique;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
resil;DR45-SNDI-resil-developpement@insee.fr;RI;45-Silo;DSDS;RESIL;Programme Répertoires Statistiques d'Individus et de Logements ;Rep. statistiques démographiques et sociales
atlasrp;ci45-domaine-cartographie@insee.fr;RP;45-Géo;DSDS;DD;Dep. démographie;Services géographiques
analyzer;dg75-dsi-domaine-outils-transverses@insee.fr;UT;75-DOT;DSI;DDSI;Dep. développement du système d'information;Services informatiques
baffil;dr45-sndi-baffil@insee.fr;MN;45-Silo;DSDS;DRCVM;Dep. des ressources et des conditions de vie des ménages;Rep. statistiques démographiques et sociales
fideli2;dr45-sndi-fideli2@insee.fr;MN;45-Silo;DSDS;DRCVM;Dep. des ressources et des conditions de vie des ménages;Rep. statistiques démographiques et sociales
Site comité secret statistique;dr13-pgcoc@insee.fr;PL;13-GCoc;SG;UAJC;Unité affaires juridiques et contentieuses;Sites web, communication
Questionnaire internet de l'enquête emploi;dr59-sin-assistance-capi@insee.fr;MN;59-Informatisation Des Enquêtes;DSDS;DPCEM;Dep. des Prix à la Consommation et Enquêtes Ménages;Enquêtes auprès des ménages
